,ID,sex,d15N,d13C
Bentri,LDB6,M,6.431908447,-22.33622653
Bentri,LDB7,M,5.587157074,-22.12909675
Bentri,LDB8,F,5.886111309,-21.73198373
Perecc,LHI3,M,9.168767147,-19.52836317
Pleela,LHI4,M,6.613192618,-21.10109308
Pleela,LHI5,M,5.801455959,-21.67851804
Pleela,LHI6,F,6.172639369,-21.66487654
Pleela,LHI7,F,6.769588628,-21.17960198
Pleela,LIA1,F,6.191406722,-21.72650362
Pleela,LIA2,F,7.034831948,-20.65000179
Pleela,LIA3,M,6.618429315,-21.09638277
Neooli,94-86-a,NA,5.726064016,-22.08969451
Neooli,94-86-b,NA,5.554093484,-22.04075705
Neooli,95-04-a,NA,5.766819988,-21.99286061
Julunt,95-07-a,NA,6.463644696,-21.58469224
Julunt,95-07-b,NA,6.389091681,-21.3493646
Julunt,95-07-c,NA,5.759861653,-21.76795317
Neopec,95-15,NA,6.314538602,-21.62217765
Lammel,95-22-a,NA,5.504390954,-18.60424123
Lammel,95-22-b,NA,5.264824354,-18.64173561
XenpaK,95-27-a,NA,6.501418199,-18.93127174
XenpaK,95-27-b,NA,6.695255648,-18.68756192
XenpaK,95-27-c,NA,6.102807502,-18.79796098
Pleela,LIA4,M,6.638121578,-21.0528004
Batmin,LIA5,M,8.56567092,-20.1413024
Plemul,LJC1,F,9.375095921,-19.64962651
XenpaK,95-27-d,NA,5.280729211,-17.85745468
Cypzon,GPC9,M,7.133636789,-21.11408023
Cypzon,GPD1,F,7.456336092,-21.03772877
Xensun,GPD5,NA,7.282583067,-19.74902755
Xensun,GPD6,NA,7.231518346,-19.27848876
Xensun,GPD7,NA,7.311632491,-18.65814889
Pcynig,GPD8,M,7.148428406,-20.43775728
Pcynig,GPD9,M,7.241960246,-20.55738578
Pcynig,GPE1,M,6.970579389,-20.75626043
Pcynig,GPE2,NA,6.890152847,-21.12785107
Pcynig,GPE3,NA,6.928697842,-20.91627126
Pcynig,GPE4,NA,7.035244055,-21.12412355
Pcynig,GPE5,NA,6.975189419,-20.64692007
Pcynig,GPE6,F,6.441765714,-20.96738969
Pcynig,GPE7,F,6.854087603,-20.90477276
Pcynig,GPE8,F,6.957776331,-21.30653121
Gwcchr,GPF2,NA,8.398204619,-19.39708368
Tromoo,GPF3,NA,5.35963853,-13.89307322
Tromoo,GPF4,NA,5.260814667,-14.12446484
Limdar,GPF5,NA,5.974478831,-19.72438296
Petfas,GPF6,NA,4.131681381,-15.84668505
XenniS,LBG3,M,7.575388261,-22.52590836
XenniS,LBG4,M,7.165127823,-21.69728777
