spp	Tribe	id	Pair_bonding	Sex_caregiver	sex	OT	VT	OTRa	OTRb	VTR1Aa	VTR1Ab	VTR2Aa	VTR2Ab	VTR2Ba	VTR2Bb	d15N	d13C
Plepar	Perissodini	OMI5_QHF5	1	1	F	8.5449088097395	7.70857766013514	3.39544426786403	2.36477579594254	2.30566502823638	1.15661083669905	2.77554407163583	1.36422166068748	2.36660282174272	2.21174176962463	2.20383269850309	0.0675640347178763
Plepar	Perissodini	OMG8_QFG6	1	1	M	7.76058689740758	6.59824832108851	3.32342382682595	2.7937354817252	2.39249410775176	1.46339018413105	2.79795986379119	1.78698730018293	2.36750861838548	2.21262287476083	2.20383269850309	0.0675640347178763
Plepar	Perissodini	OMH1_QFI8	1	1	F	7.87062795658472	6.90761897270443	3.18972083921237	2.89759805342511	2.71599196231926	1.05301329939332	2.63973782838816	1.80660246344966	2.1350573946285	1.16032582509718	2.20383269850309	0.0675640347178763
Plestr	Perissodini	MPE7_ODD3	1	1	F	7.21506990404255	5.91160746215099	3.25667344693444	2.34214139054611	2.04403278830087	2.20687886159775	2.60179348514575	1.66063066697764	2.14555877438319	0	2.32783267280646	-0.232256229395498
Plestr	Perissodini	MPD6_OCD3	1	1	F	8.12572651554887	6.63913707076532	2.83747686326599	2.50555815711059	2.83904612882458	0.919002187154006	2.41582842033104	1.1263702863547	1.26652510816219	2.02530383740024	2.32783267280646	-0.232256229395498
Plestr	Perissodini	MPG5_QKC2	1	1	F	7.74472891040827	6.73592963777645	3.26610497799673	2.27821585745706	3.03985324592196	2.3734575096618	3.05800887259304	1.33038629890637	2.67797406903789	2.30202536351708	2.32783267280646	-0.232256229395498
Plestr	Perissodini	MOA7_NQI8	1	1	M	0	2.19505461958254	3.787211989492	2.55408609229844	2.72457758950145	1.05826592244128	2.5989034950467	1.65826587561469	1.43734280896514	1.8022134869233	2.32783267280646	-0.232256229395498
Plestr	Perissodini	MPB7_OAD3	1	1	F	7.4594316186373	6.77332913532433	3.40850427189342	3.47271780449414	2.51576668948896	1.35669316954918	2.41444406891079	1.55756742639792	1.91508410627643	2.94976089085501	2.32783267280646	-0.232256229395498
Plestr	Perissodini	MOA8_NRB1	1	1	M	8.40480181529934	6.28294254777553	3.61292922555126	2.78653488922725	2.51718144245493	1.49738396872369	2.59908065799566	1.60557777354511	2.54982759975762	2.30108656691575	2.32783267280646	-0.232256229395498
Simdia	Tropheini	IPH6_JHF8	1	0	M	7.61469217835349	5.50246395445277	3.15882430690129	2.22915658780927	2.84325487789168	1.31598408186426	2.86104580256277	0.918637577353521	3.13064048999363	1.6107647788301	0.362498275379859	0.66298181879661
Simdia	Tropheini	IQC9_JJI9	1	0	M	5.88683007518667	2.37876823368335	3.22504243236976	2.74837900563092	3.35992030206977	1.2700277243634	3.04552702067648	1.56977347867977	3.17313639031785	1.97076348308255	0.362498275379859	0.66298181879661
Simdia	Tropheini	LPA6_MXI8	1	0	M	7.25186013660431	3.95863762169791	2.95372489094261	1.97613337276194	1.70132814467899	1.97568410751343	2.26527155276281	1.55962298358482	3.12347401190723	2.12775443461109	0.362498275379859	0.66298181879661
Simdia	Tropheini	LPA7_NAB1	1	0	F	3.89415712445918	4.33788945585985	4.08227935714561	3.35366303266002	3.04772787399875	1.9557104384299	2.99743423104819	1.34720754915829	3.01390348728184	2.7497013746358	0.362498275379859	0.66298181879661
Simdia	Tropheini	LPD9_NCG6	1	0	F	6.13377783453332	3.44811808993021	3.44008512489416	2.69232385778533	2.56875473100987	1.09910934226972	2.54529800248394	1.2763084628046	2.33794310335642	1.56984491716177	0.362498275379859	0.66298181879661
Simdia	Tropheini	LPB7_NBC2	1	0	F	7.15145397586654	5.44326450123694	3.99547909180131	2.11739151291433	3.49190567359087	1.57429143226461	2.58653346134272	0.728324134927208	2.85654036693776	2.14047765399067	0.362498275379859	0.66298181879661
Spaery	Eretmodini	JUH1_KKB1	1	1	M	5.80898167372289	4.52167329889062	3.88491436102516	3.178447267723	2.5132398312697	2.02384153878254	3.34422061946552	0.421590858502618	3.41672937422236	0	-0.604937979309757	1.50913505471812
Spaery	Eretmodini	JUG8_KJH7	1	1	M	3.23350862810485	0	4.04708376699782	3.6292003925217	2.19981554729384	1.62320481159535	3.11091258572416	1.61938061122427	2.72873989035214	0	-0.604937979309757	1.50913505471812
Spaery	Eretmodini	JUG9_KJI8	1	1	F	9.71946805575362	6.5719748128071	4.3010637332048	3.83803504683623	3.36175151852272	1.28243802573083	2.68683844242105	2.07398676757263	3.68577647678768	1.79453689169006	-0.604937979309757	1.50913505471812
Spaery	Eretmodini	JUH2_KKC2	1	1	M	8.43391796333201	6.24413565003829	4.25037043241312	3.98247342644168	2.70999791232439	2.53933552267123	3.32149493281521	1.69481869591612	3.9478727755732	2.4395010684255	-0.604937979309757	1.50913505471812
Spaery	Eretmodini	JUH4_KKE4	1	1	F	7.80632727998972	6.48319778457607	4.36022309061716	3.80845610240952	2.97213163980962	2.21201331945485	3.30378220913337	1.21162964698838	3.66993723610895	0	-0.604937979309757	1.50913505471812
Spaery	Eretmodini	JUH3_KKD3	1	1	F	5.14439557705456	4.14413857512014	4.39849061034455	3.88802135555879	3.25462321710351	1.98826549456854	2.73610368714042	1.25062874540621	3.61351397272331	1.60690220631787	-0.604937979309757	1.50913505471812
Tanirs	Eretmodini	JYI7_KQH5	1	1	F	8.11573920230974	6.7104868706252	3.23069566555907	3.74062539358993	3.25893674828265	2.39330745879524	2.76502058856544	1.46748243485318	3.35474115022356	0	-0.981623085822715	1.4050910914817
Tanirs	Eretmodini	OMF1_QFD3	1	1	F	8.29319756822523	6.2012970623379	4.51109162944768	3.39454706729438	2.72637828789156	1.20215000275185	2.7439274461857	1.96915270089207	3.55797245147885	2.94977134755105	-0.981623085822715	1.4050910914817
Tanirs	Eretmodini	JYH3_KQE2	1	1	M	7.73454027988397	7.02408138254212	3.88698415863639	3.62913509838032	3.06790214297997	2.1692689069336	2.13929201233091	1.55370061484958	3.35055495373164	2.66883462021482	-0.981623085822715	1.4050910914817
Tanirs	Eretmodini	JYI2_KQG4	1	1	M	7.35138186413704	6.31189577791659	3.75216840004618	3.96316428119333	3.20113181003864	2.44057274324861	2.58231127805825	1.17654426677805	2.80539007672621	2.09467793311266	-0.981623085822715	1.4050910914817
Tanirs	Eretmodini	OMF2_QFE4	1	1	M	6.65019701808026	5.4264747689725	3.75754068853604	3.55133390049112	3.05578653137333	2.45926137057764	3.33934949681815	1.50863806898473	3.28855213909354	0	-0.981623085822715	1.4050910914817
Tanirs	Eretmodini	JYH7_KQF3	1	1	F	7.48350060666142	6.76362403232193	3.34003408615154	4.07099976787828	2.28094117435922	2.5330738950659	3.04820566409787	1.6895939322903	3.09696481003771	2.70082763997232	-0.981623085822715	1.4050910914817
TeldhS	Lamprologini	IZE3_BLE6	1	0	M	10.0237987005922	7.92684746445057	3.64429931763033	1.60973085402636	2.25685185265213	1.49732775812706	3.15070962458472	0.787782731084798	1.44696919505565	1.1743917166445	0.920622343288475	-0.250708937549432
TeldhS	Lamprologini	LOE6_NMC2	1	0	F	1.46000595923336	2.07883694565512	1.83348235930832	3.5523955166176	4.4071324547771	1.66321116105545	1.18010966043094	0.281990527565825	1.8339461864463	0	0.920622343288475	-0.250708937549432
TeldhS	Lamprologini	IZF8_BLF7	1	0	M	9.66069174915301	7.22038413232412	2.91516080349448	2.80230800746423	2.75113611035691	2.11048585720495	2.84855604289311	1.99089170708089	2.51428615617041	1.1002389602055	0.920622343288475	-0.250708937549432
TeldhS	Lamprologini	LOE8_NME4	1	0	M	0	0	2.84605617883852	2.36649959362575	4.50420976965736	0.798003302292444	2.35027431933354	0.795599066817781	0	0	0.920622343288475	-0.250708937549432
TeldhS	Lamprologini	LOE7_NMD3	1	0	F	7.39390008391485	5.62729661367199	3.55737332689471	2.91483103391478	3.10948660164567	1.7332927264573	3.31657935472981	1.51227594489771	3.02758474281927	0.84913578524889	0.920622343288475	-0.250708937549432
TeldhS	Lamprologini	LOE5_NMB1	1	0	F	8.47576909265024	6.97670158458247	2.59133617360397	2.01359303440807	2.03863704925995	1.76523217299965	3.09306894073656	0	3.25087064450974	1.02421186314805	0.920622343288475	-0.250708937549432
TelteS	Lamprologini	IPA7_JFD4	1	0	M	8.68520502184121	6.77616717041404	3.72727245732325	2.43667836601525	2.95884434524296	1.56605135833401	2.97685575460859	0.406581403397868	2.68157902332025	1.08855955144164	-0.32361409401219	0.585465517972583
TelteS	Lamprologini	MUI7_LWD3	1	0	M	6.97794043500433	5.99243875722446	3.64642075203281	1.27619767370637	3.28252416980358	2.05612428984085	2.62439455205107	0.704216318596639	3.42228642785898	1.66798656134267	-0.32361409401219	0.585465517972583
TelteS	Lamprologini	LPB2_NAF5	1	0	F	8.77763801019112	6.76492200126828	3.78189996722605	2.63690414281381	3.47516791336755	0.982893939760811	2.1905437508154	0	1.72744085568808	2.12628602544108	-0.32361409401219	0.585465517972583
TelteS	Lamprologini	MUF1_LSC2	1	0	M	8.09029559059869	6.84102081712118	4.03220225154037	3.98049515100294	3.06844931676064	1.65010232958607	2.8212144712766	1.33431426575733	2.76247745110295	2.05638653155589	-0.32361409401219	0.585465517972583
TelteS	Lamprologini	LND7_MDH7	1	0	F	5.68327312681115	4.07558397171436	4.33854279221885	2.75670607483617	2.28302743897665	2.1755638814605	2.06196451315134	2.17115461526295	3.09928426203518	2.92867844408865	-0.32361409401219	0.585465517972583
TelteS	Lamprologini	MUI6_LWC2	1	0	F	2.50508579303236	1.95263773046756	4.28881920599729	2.29532806577024	3.52344026273425	2.06471112479442	2.68026201126504	0.365440589406185	3.8779218769745	2.31920980648592	-0.32361409401219	0.585465517972583
Telvit	Lamprologini	ISG9_JOF2	0	0	M	8.18008618239864	7.31526642261604	3.31339185558761	1.86639765441981	2.63742152204471	1.59231015895139	2.29984687631955	1.588526360963	3.85966050812794	2.49350618272249	-0.363074013502553	0.581068154599324
Telvit	Lamprologini	IPA5_JFC2	0	0	M	3.43398162194957	4.43569992702487	4.35678822973818	3.37402369466467	2.92413600008434	1.45103171185517	2.44805543210197	0.428086419115076	1.79197572728173	1.13455479137145	-0.363074013502553	0.581068154599324
Telvit	Lamprologini	LPI1_NHD3	0	0	F	7.46066557868964	6.41647615180934	3.98921259384058	2.76192115318826	3.30398249223284	2.54031151369529	2.80795289825834	0.713492503674391	2.26335116284385	1.68440538996743	-0.363074013502553	0.581068154599324
Telvit	Lamprologini	LPI4_NHG6	0	0	F	6.59456482157774	5.85990372127406	3.66332753921319	2.11453260885235	2.96643563560067	2.72019352105196	2.02609889851269	0.987347136202545	3.25726985747385	1.09317950865032	-0.363074013502553	0.581068154599324
Telvit	Lamprologini	MUC3_LYB1	0	0	M	9.02151998061677	8.68417738943257	3.89494772124302	2.16261577752395	3.12257614943733	1.76681902179806	2.20460745080247	0.424324790925977	3.19004019602795	3.21469679515444	-0.363074013502553	0.581068154599324
