Default schedule
Rate	100.00
Rate Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
1000	0.322000	0.934272	1000	0.322000	0.322000	0.319119	
1000	0.294000	0.934272	1000	0.294000	0.294000	0.319042	
1000	0.353000	0.934272	1000	0.353000	0.353000	0.319146	
1000	0.349000	0.934272	1000	0.349000	0.349000	0.319238	
1000	0.353000	0.934272	1000	0.353000	0.353000	0.319340	
1000	0.344000	0.934272	1000	0.344000	0.344000	0.319415	
1000	0.337000	0.934272	1000	0.337000	0.337000	0.319469	
1000	0.322000	0.934272	1000	0.322000	0.322000	0.319476	
1000	0.316000	0.934272	1000	0.316000	0.316000	0.319466	
1000	0.314000	0.934272	1000	0.314000	0.314000	0.319449	
1000	0.317000	0.934272	1000	0.317000	0.317000	0.319442	
1000	0.308000	0.934272	1000	0.308000	0.308000	0.319408	
1000	0.316000	0.934272	1000	0.316000	0.316000	0.319398	
1000	0.316000	0.934272	1000	0.316000	0.316000	0.319388	
1000	0.320000	0.934272	1000	0.320000	0.320000	0.319390	
1000	0.334000	0.934272	1000	0.334000	0.334000	0.319433	
1000	0.300000	0.934272	1000	0.300000	0.300000	0.319376	
1000	0.330000	0.934272	1000	0.330000	0.330000	0.319407	
1000	0.331000	0.934272	1000	0.331000	0.331000	0.319441	
1000	0.355000	0.934272	1000	0.355000	0.355000	0.319544	
1000	0.306000	0.934272	1000	0.306000	0.306000	0.319505	
1000	0.339000	0.934272	1000	0.339000	0.339000	0.319561	
1000	0.344000	0.934272	1000	0.344000	0.344000	0.319632	
1000	0.316000	0.934272	1000	0.316000	0.316000	0.319622	
1000	0.315000	0.934272	1000	0.315000	0.315000	0.319608	
1000	0.319000	0.934272	1000	0.319000	0.319000	0.319607	
1000	0.358000	0.934272	1000	0.358000	0.358000	0.319716	
1000	0.303000	0.934272	1000	0.303000	0.303000	0.319669	
